question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",RUDQJH,QTBPHF,PSGOHF,NQDMFD,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 4, 12, 20, 28, 36, ?",52,54,44,42,44,The differences between consecutive terms are constant (+8). The next term is 36 + 8 = 44.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Cousin,Father,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,RUDQJH,PSGOHF,NQDMFD,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 3, 11, 19, 27, 35, ?",53,41,43,51,43,The differences between consecutive terms are constant (+8). The next term is 35 + 8 = 43.,reasoning,1,Infosys,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Father,Brother,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Microsoft,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,NQDMFD,QTBPHF,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Capgemini,Easy
"Number Series: Find the missing term in the sequence: 3, 6, 9, 12, 15, ?",18,16,28,21,18,The differences between consecutive terms are constant (+3). The next term is 15 + 3 = 18.,reasoning,1,Accenture,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Father,Brother,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Cognizant,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSGOHF,NQDMFD,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Microsoft,Easy
"Number Series: Find the missing term in the sequence: 4, 11, 18, 25, 32, ?",49,46,37,39,39,The differences between consecutive terms are constant (+7). The next term is 32 + 7 = 39.,reasoning,1,Capgemini,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Cousin,Father,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Microsoft,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,NQDMFD,QTCPIG,QTBPHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Google,Easy
"Number Series: Find the missing term in the sequence: 5, 8, 11, 14, 17, ?",23,30,18,20,20,The differences between consecutive terms are constant (+3). The next term is 17 + 3 = 20.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Cousin,Father,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Amazon,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,NQDMFD,PSGOHF,QTCPIG,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 2, 5, 8, 11, 14, ?",20,27,17,15,17,The differences between consecutive terms are constant (+3). The next term is 14 + 3 = 17.,reasoning,1,Infosys,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Cousin,Brother,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,TCS,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,NQDMFD,QTCPIG,PSGOHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Tech Mahindra,Easy
"Number Series: Find the missing term in the sequence: 5, 8, 11, 14, 17, ?",20,23,18,30,20,The differences between consecutive terms are constant (+3). The next term is 17 + 3 = 20.,reasoning,1,Capgemini,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Cousin,Brother,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Cognizant,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTBPHF,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Cognizant,Easy
"Number Series: Find the missing term in the sequence: 4, 11, 18, 25, 32, ?",39,49,46,37,39,The differences between consecutive terms are constant (+7). The next term is 32 + 7 = 39.,reasoning,1,TCS,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Father,Uncle,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,TCS,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTBPHF,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Microsoft,Easy
"Number Series: Find the missing term in the sequence: 2, 8, 14, 20, 26, ?",42,32,30,38,32,The differences between consecutive terms are constant (+6). The next term is 26 + 6 = 32.,reasoning,1,Cognizant,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Father,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Tech Mahindra,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSGOHF,NQDMFD,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Cognizant,Easy
"Number Series: Find the missing term in the sequence: 3, 11, 19, 27, 35, ?",41,51,43,53,43,The differences between consecutive terms are constant (+8). The next term is 35 + 8 = 43.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Cousin,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Amazon,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",QTCPIG,QTBPHF,NQDMFD,PSGOHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,TCS,Easy
"Number Series: Find the missing term in the sequence: 2, 6, 10, 14, 18, ?",32,20,22,26,22,The differences between consecutive terms are constant (+4). The next term is 18 + 4 = 22.,reasoning,1,Accenture,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Cousin,Uncle,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Accenture,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,QTCPIG,NQDMFD,QTBPHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 5, 11, 17, 23, 29, ?",33,41,35,45,35,The differences between consecutive terms are constant (+6). The next term is 29 + 6 = 35.,reasoning,1,Google,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Brother,Father,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Google,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSGOHF,RUDQJH,NQDMFD,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 5, 10, 15, 20, 25, ?",28,30,40,35,30,The differences between consecutive terms are constant (+5). The next term is 25 + 5 = 30.,reasoning,1,Capgemini,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Brother,Cousin,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Microsoft,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSBOHF,PSGOHF,NQDMFD,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Google,Easy
"Number Series: Find the missing term in the sequence: 4, 12, 20, 28, 36, ?",54,42,52,44,44,The differences between consecutive terms are constant (+8). The next term is 36 + 8 = 44.,reasoning,1,Tech Mahindra,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Father,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Microsoft,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,QTCPIG,QTBPHF,NQDMFD,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 3, 10, 17, 24, 31, ?",36,45,38,48,38,The differences between consecutive terms are constant (+7). The next term is 31 + 7 = 38.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Cousin,Uncle,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Cognizant,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,QTBPHF,QTCPIG,PSGOHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 3, 6, 9, 12, 15, ?",21,18,16,28,18,The differences between consecutive terms are constant (+3). The next term is 15 + 3 = 18.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Uncle,Brother,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Infosys,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",RUDQJH,PSGOHF,QTBPHF,NQDMFD,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 3, 10, 17, 24, 31, ?",45,48,38,36,38,The differences between consecutive terms are constant (+7). The next term is 31 + 7 = 38.,reasoning,1,Microsoft,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Father,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Microsoft,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTCPIG,QTBPHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 5, 13, 21, 29, 37, ?",43,53,45,55,45,The differences between consecutive terms are constant (+8). The next term is 37 + 8 = 45.,reasoning,1,TCS,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Uncle,Brother,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Amazon,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,PSBOHF,NQDMFD,QTBPHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 4, 9, 14, 19, 24, ?",27,39,34,29,29,The differences between consecutive terms are constant (+5). The next term is 24 + 5 = 29.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Father,Brother,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,TCS,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,PSBOHF,QTBPHF,NQDMFD,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 5, 13, 21, 29, 37, ?",43,55,45,53,45,The differences between consecutive terms are constant (+8). The next term is 37 + 8 = 45.,reasoning,1,Infosys,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Father,Cousin,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,QTBPHF,PSGOHF,RUDQJH,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 2, 7, 12, 17, 22, ?",37,32,25,27,27,The differences between consecutive terms are constant (+5). The next term is 22 + 5 = 27.,reasoning,1,Tech Mahindra,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Brother,Cousin,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSGOHF,PSBOHF,NQDMFD,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Amazon,Easy
"Number Series: Find the missing term in the sequence: 4, 8, 12, 16, 20, ?",22,28,34,24,24,The differences between consecutive terms are constant (+4). The next term is 20 + 4 = 24.,reasoning,1,Cognizant,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Cousin,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Google,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,RUDQJH,PSGOHF,QTBPHF,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Accenture,Easy
"Number Series: Find the missing term in the sequence: 5, 11, 17, 23, 29, ?",41,35,33,45,35,The differences between consecutive terms are constant (+6). The next term is 29 + 6 = 35.,reasoning,1,Amazon,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Cousin,Uncle,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Capgemini,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSBOHF,PSGOHF,QTBPHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 2, 6, 10, 14, 18, ?",22,32,26,20,22,The differences between consecutive terms are constant (+4). The next term is 18 + 4 = 22.,reasoning,1,Microsoft,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Brother,Uncle,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,NQDMFD,PSBOHF,PSGOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Amazon,Easy
"Number Series: Find the missing term in the sequence: 5, 10, 15, 20, 25, ?",28,40,30,35,30,The differences between consecutive terms are constant (+5). The next term is 25 + 5 = 30.,reasoning,1,Microsoft,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Cousin,Father,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Tech Mahindra,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTBPHF,QTCPIG,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Accenture,Easy
"Number Series: Find the missing term in the sequence: 4, 7, 10, 13, 16, ?",22,29,17,19,19,The differences between consecutive terms are constant (+3). The next term is 16 + 3 = 19.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Uncle,Father,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,RUDQJH,QTBPHF,PSGOHF,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Cognizant,Easy
"Number Series: Find the missing term in the sequence: 4, 12, 20, 28, 36, ?",44,42,52,54,44,The differences between consecutive terms are constant (+8). The next term is 36 + 8 = 44.,reasoning,1,Capgemini,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Brother,Uncle,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Amazon,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",PSBOHF,NQDMFD,QTBPHF,PSGOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 2, 9, 16, 23, 30, ?",37,35,44,47,37,The differences between consecutive terms are constant (+7). The next term is 30 + 7 = 37.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Brother,Father,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Accenture,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSGOHF,QTCPIG,NQDMFD,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Google,Easy
"Number Series: Find the missing term in the sequence: 3, 9, 15, 21, 27, ?",33,31,43,39,33,The differences between consecutive terms are constant (+6). The next term is 27 + 6 = 33.,reasoning,1,Tech Mahindra,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Brother,Uncle,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Google,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTBPHF,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Accenture,Easy
"Number Series: Find the missing term in the sequence: 4, 7, 10, 13, 16, ?",17,29,19,22,19,The differences between consecutive terms are constant (+3). The next term is 16 + 3 = 19.,reasoning,1,Microsoft,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Brother,Uncle,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Capgemini,Easy
