question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,120,6,24,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Microsoft,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/52,4/13,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Amazon,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,9,25,16,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Wipro,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,120,6,24,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,4/13,1/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Wipro,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,9,4,16,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Tech Mahindra,Easy
Permutations: In how many different ways can the letters of the word 'PLAY' be arranged?,120,12,6,24,24,The word 'PLAY' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Wipro,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/52,4/13,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,TCS,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,4,25,16,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Microsoft,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,6,12,24,120,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Cognizant,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/52,1/4,4/13,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Capgemini,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,9,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Microsoft,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,24,6,120,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Cognizant,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/4,1/52,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Tech Mahindra,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,16,9,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Google,Easy
Permutations: In how many different ways can the letters of the word 'CODE' be arranged?,120,12,24,6,24,The word 'CODE' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/52,4/13,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Cognizant,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,16,25,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Capgemini,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,12,120,6,24,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Accenture,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/52,1/4,1/13,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Infosys,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,4,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Amazon,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,6,12,24,120,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/4,1/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Wipro,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,4,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Infosys,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,120,12,24,6,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/52,1/13,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Cognizant,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,16,4,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Capgemini,Easy
Permutations: In how many different ways can the letters of the word 'PLAY' be arranged?,6,120,12,24,24,The word 'PLAY' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/52,4/13,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Cognizant,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,25,16,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Microsoft,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,120,6,12,24,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Capgemini,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/13,1/52,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Accenture,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,9,16,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'CODE' be arranged?,6,24,12,120,24,The word 'CODE' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Wipro,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/13,4/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Tech Mahindra,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,16,9,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Capgemini,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,120,24,12,6,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Infosys,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,4/13,1/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Infosys,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,4,16,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,TCS,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,6,120,24,12,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Microsoft,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/52,1/13,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Amazon,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Capgemini,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,6,120,12,24,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,TCS,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/13,4/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Tech Mahindra,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,9,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,TCS,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,120,24,6,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Accenture,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,4/13,1/4,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Cognizant,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,25,4,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Tech Mahindra,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,24,6,120,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Accenture,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/52,1/4,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Cognizant,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,25,4,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,TCS,Easy
Permutations: In how many different ways can the letters of the word 'CODE' be arranged?,6,12,24,120,24,The word 'CODE' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Amazon,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/13,1/4,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Microsoft,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Wipro,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,12,24,6,120,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,TCS,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,1/52,1/13,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Microsoft,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,16,4,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Wipro,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,24,12,120,6,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Microsoft,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/4,1/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Accenture,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,6,120,12,24,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Wipro,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,4/13,1/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Amazon,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,9,16,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'PLAY' be arranged?,12,24,6,120,24,The word 'PLAY' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Capgemini,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/52,4/13,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Wipro,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,9,25,16,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Microsoft,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,12,120,6,24,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Cognizant,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/52,1/4,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Tech Mahindra,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,9,4,16,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Accenture,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,12,24,120,6,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Amazon,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,4/13,1/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,TCS,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,4,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,12,24,120,6,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Wipro,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/4,1/52,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Wipro,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,9,4,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Google,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,120,6,24,12,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/52,1/13,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Google,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",25,16,9,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Infosys,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,120,24,6,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Cognizant,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/4,4/13,1/52,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Cognizant,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,9,4,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,TCS,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,12,6,24,120,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Infosys,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/52,1/13,4/13,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Google,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'PLAY' be arranged?,6,24,12,120,24,The word 'PLAY' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Wipro,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,4/13,1/52,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Accenture,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,4,25,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Accenture,Easy
Permutations: In how many different ways can the letters of the word 'CODE' be arranged?,6,120,12,24,24,The word 'CODE' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Cognizant,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/52,1/4,4/13,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Microsoft,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,25,4,16,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,12,120,24,6,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Amazon,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,4/13,1/52,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Google,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,16,25,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Accenture,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,120,24,6,12,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Tech Mahindra,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/52,1/4,1/13,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Amazon,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,25,16,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,24,6,120,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Infosys,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/4,4/13,1/52,1/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Tech Mahindra,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,16,9,25,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Capgemini,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,6,24,12,120,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Capgemini,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/52,1/4,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Amazon,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",4,16,25,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Cognizant,Easy
Permutations: In how many different ways can the letters of the word 'MATH' be arranged?,6,24,12,120,24,The word 'MATH' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Capgemini,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/13,1/4,1/52,4/13,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Wipro,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,25,9,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Microsoft,Easy
Permutations: In how many different ways can the letters of the word 'WORK' be arranged?,120,24,6,12,24,The word 'WORK' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Cognizant,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,4/13,1/13,1/52,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Microsoft,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",16,4,25,9,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Microsoft,Easy
Permutations: In how many different ways can the letters of the word 'CODE' be arranged?,120,6,24,12,24,The word 'CODE' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
Probability: A single card is drawn from a standard deck of 52 cards. What is the probability that it is a King?,1/52,1/13,4/13,1/4,1/13,A deck contains 4 Kings out of 52 cards. Probability = 4 / 52 = 1 / 13.,advanced_quant,1,Infosys,Easy
"Algebra: If 2x + 7 = 15, what is the value of x^2?",9,25,16,4,16,"2x = 15 - 7 => 2x = 8 => x = 4. Therefore, x^2 = 16.",advanced_quant,1,Capgemini,Easy
Permutations: In how many different ways can the letters of the word 'FLOW' be arranged?,12,120,6,24,24,The word 'FLOW' contains 4 distinct letters. The number of arrangements is 4! = 4 * 3 * 2 * 1 = 24.,advanced_quant,1,Google,Easy
