question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
A salary increases from Rs.25400 to Rs.26670. What is the percentage increase?,6%,3%,5%,10%,5%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((26670 - 25400) / 25400) * 100 = 5%.,numerical,1,Google,Easy
A shopkeeper buys a watch for Rs.970 and sells it for Rs.1067. What is his profit percentage?,10%,13%,20%,5%,10%,Profit = Selling Price (SP) - Cost Price (CP) = 1067 - 970 = Rs.97. Profit % = (Profit / CP) * 100 = (97 / 970) * 100 = 10%.,numerical,1,Wipro,Easy
"The average of 8 numbers is 34. If one number 20 is removed, what is the average of the remaining numbers?",39.60,35,36,38,36,"Total sum of 8 numbers = 8 * 34 = 272. After removing 20, new sum = 252. New average = 252 / 7 = 36.",numerical,1,TCS,Easy
"The ratio of boys to girls in a class is 4:5. If there are 16 boys, how many total students are in the class?",36,39,32,41,36,"Boys : Girls = 4 : 5. Since boys = 16, 1 part = 16 / 4 = 4. Total parts = 4 + 5 = 9. Total students = 9 * 4 = 36.",numerical,1,Accenture,Easy
Find the simple interest on Rs.5600 at 11% per annum for 3 years.,Rs.1898,Rs.1848,Rs.1818,Rs.2032,Rs.1848,Simple Interest (SI) = (P * R * T) / 100 = (5600 * 11 * 3) / 100 = Rs.1848.0.,numerical,1,Capgemini,Easy
A salary increases from Rs.10800 to Rs.11880. What is the percentage increase?,15%,8%,12%,10%,10%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((11880 - 10800) / 10800) * 100 = 10%.,numerical,1,TCS,Easy
A shopkeeper buys a watch for Rs.400 and sells it for Rs.448. What is his profit percentage?,12%,7%,22%,15%,12%,Profit = Selling Price (SP) - Cost Price (CP) = 448 - 400 = Rs.48. Profit % = (Profit / CP) * 100 = (48 / 400) * 100 = 12%.,numerical,1,Capgemini,Easy
"The average of 4 numbers is 39. If one number 10 is removed, what is the average of the remaining numbers?",47.67,53.53,50.67,48.67,48.67,"Total sum of 4 numbers = 4 * 39 = 156. After removing 10, new sum = 146. New average = 146 / 3 = 48.67.",numerical,1,Wipro,Easy
"The ratio of boys to girls in a class is 2:5. If there are 20 boys, how many total students are in the class?",40,75,70,66,70,"Boys : Girls = 2 : 5. Since boys = 20, 1 part = 20 / 2 = 10. Total parts = 2 + 5 = 7. Total students = 7 * 10 = 70.",numerical,1,Infosys,Easy
Find the simple interest on Rs.3300 at 6% per annum for 3 years.,Rs.644,Rs.653,Rs.594,Rs.564,Rs.594,Simple Interest (SI) = (P * R * T) / 100 = (3300 * 6 * 3) / 100 = Rs.594.0.,numerical,1,Cognizant,Easy
A salary increases from Rs.10200 to Rs.12750. What is the percentage increase?,23%,88,30%,25%,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((12750 - 10200) / 10200) * 100 = 25%.,numerical,1,Accenture,Easy
A shopkeeper buys a watch for Rs.160 and sells it for Rs.192. What is his profit percentage?,30%,20%,23%,15%,20%,Profit = Selling Price (SP) - Cost Price (CP) = 192 - 160 = Rs.32. Profit % = (Profit / CP) * 100 = (32 / 160) * 100 = 20%.,numerical,1,Microsoft,Easy
"The average of 4 numbers is 43. If one number 25 is removed, what is the average of the remaining numbers?",53.90,49,48,51,49,"Total sum of 4 numbers = 4 * 43 = 172. After removing 25, new sum = 147. New average = 147 / 3 = 49.",numerical,1,Wipro,Easy
"The ratio of boys to girls in a class is 3:6. If there are 12 boys, how many total students are in the class?",24,41,36,32,36,"Boys : Girls = 3 : 6. Since boys = 12, 1 part = 12 / 3 = 4. Total parts = 3 + 6 = 9. Total students = 9 * 4 = 36.",numerical,1,Cognizant,Easy
Find the simple interest on Rs.2500 at 14% per annum for 3 years.,Rs.1155,Rs.1050,Rs.1020,Rs.1100,Rs.1050,Simple Interest (SI) = (P * R * T) / 100 = (2500 * 14 * 3) / 100 = Rs.1050.0.,numerical,1,Google,Easy
A salary increases from Rs.10200 to Rs.12750. What is the percentage increase?,30%,25%,10,23%,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((12750 - 10200) / 10200) * 100 = 25%.,numerical,1,Cognizant,Easy
A shopkeeper buys a watch for Rs.790 and sells it for Rs.948. What is his profit percentage?,15%,23%,20%,30%,20%,Profit = Selling Price (SP) - Cost Price (CP) = 948 - 790 = Rs.158. Profit % = (Profit / CP) * 100 = (158 / 790) * 100 = 20%.,numerical,1,Microsoft,Easy
"The average of 6 numbers is 44. If one number 15 is removed, what is the average of the remaining numbers?",51.80,49.80,54.78,48.80,49.80,"Total sum of 6 numbers = 6 * 44 = 264. After removing 15, new sum = 249. New average = 249 / 5 = 49.80.",numerical,1,Infosys,Easy
"The ratio of boys to girls in a class is 2:5. If there are 6 boys, how many total students are in the class?",12,17,26,21,21,"Boys : Girls = 2 : 5. Since boys = 6, 1 part = 6 / 2 = 3. Total parts = 2 + 5 = 7. Total students = 7 * 3 = 21.",numerical,1,Cognizant,Easy
Find the simple interest on Rs.2400 at 15% per annum for 3 years.,Rs.1080,Rs.1130,Rs.1050,Rs.1188,Rs.1080,Simple Interest (SI) = (P * R * T) / 100 = (2400 * 15 * 3) / 100 = Rs.1080.0.,numerical,1,Google,Easy
A salary increases from Rs.21800 to Rs.27250. What is the percentage increase?,30%,23%,54,25%,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((27250 - 21800) / 21800) * 100 = 25%.,numerical,1,Wipro,Easy
A shopkeeper buys a watch for Rs.650 and sells it for Rs.780. What is his profit percentage?,30%,20%,23%,15%,20%,Profit = Selling Price (SP) - Cost Price (CP) = 780 - 650 = Rs.130. Profit % = (Profit / CP) * 100 = (130 / 650) * 100 = 20%.,numerical,1,Cognizant,Easy
"The average of 7 numbers is 48. If one number 10 is removed, what is the average of the remaining numbers?",56.33,54.33,59.77,53.33,54.33,"Total sum of 7 numbers = 7 * 48 = 336. After removing 10, new sum = 326. New average = 326 / 6 = 54.33.",numerical,1,Amazon,Easy
"The ratio of boys to girls in a class is 5:4. If there are 40 boys, how many total students are in the class?",68,77,72,80,72,"Boys : Girls = 5 : 4. Since boys = 40, 1 part = 40 / 5 = 8. Total parts = 5 + 4 = 9. Total students = 9 * 8 = 72.",numerical,1,Capgemini,Easy
Find the simple interest on Rs.5200 at 6% per annum for 5 years.,Rs.1716,Rs.1610,Rs.1530,Rs.1560,Rs.1560,Simple Interest (SI) = (P * R * T) / 100 = (5200 * 6 * 5) / 100 = Rs.1560.0.,numerical,1,Tech Mahindra,Easy
A salary increases from Rs.34200 to Rs.42750. What is the percentage increase?,23%,30%,71,25%,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((42750 - 34200) / 34200) * 100 = 25%.,numerical,1,Cognizant,Easy
A shopkeeper buys a watch for Rs.170 and sells it for Rs.187. What is his profit percentage?,20%,10%,13%,5%,10%,Profit = Selling Price (SP) - Cost Price (CP) = 187 - 170 = Rs.17. Profit % = (Profit / CP) * 100 = (17 / 170) * 100 = 10%.,numerical,1,Microsoft,Easy
"The average of 5 numbers is 32. If one number 30 is removed, what is the average of the remaining numbers?",35.75,32.50,34.50,31.50,32.50,"Total sum of 5 numbers = 5 * 32 = 160. After removing 30, new sum = 130. New average = 130 / 4 = 32.50.",numerical,1,Infosys,Easy
"The ratio of boys to girls in a class is 4:7. If there are 28 boys, how many total students are in the class?",77,56,82,73,77,"Boys : Girls = 4 : 7. Since boys = 28, 1 part = 28 / 4 = 7. Total parts = 4 + 7 = 11. Total students = 11 * 7 = 77.",numerical,1,Google,Easy
Find the simple interest on Rs.8600 at 8% per annum for 3 years.,Rs.2034,Rs.2114,Rs.2064,Rs.2270,Rs.2064,Simple Interest (SI) = (P * R * T) / 100 = (8600 * 8 * 3) / 100 = Rs.2064.0.,numerical,1,Capgemini,Easy
A salary increases from Rs.42500 to Rs.51000. What is the percentage increase?,24%,18%,25%,20%,20%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((51000 - 42500) / 42500) * 100 = 20%.,numerical,1,TCS,Easy
A shopkeeper buys a watch for Rs.600 and sells it for Rs.660. What is his profit percentage?,13%,20%,10%,5%,10%,Profit = Selling Price (SP) - Cost Price (CP) = 660 - 600 = Rs.60. Profit % = (Profit / CP) * 100 = (60 / 600) * 100 = 10%.,numerical,1,Google,Easy
"The average of 6 numbers is 49. If one number 10 is removed, what is the average of the remaining numbers?",56.80,62.48,55.80,58.80,56.80,"Total sum of 6 numbers = 6 * 49 = 294. After removing 10, new sum = 284. New average = 284 / 5 = 56.80.",numerical,1,Capgemini,Easy
"The ratio of boys to girls in a class is 5:4. If there are 35 boys, how many total students are in the class?",70,63,68,59,63,"Boys : Girls = 5 : 4. Since boys = 35, 1 part = 35 / 5 = 7. Total parts = 5 + 4 = 9. Total students = 9 * 7 = 63.",numerical,1,TCS,Easy
Find the simple interest on Rs.1000 at 15% per annum for 2 years.,Rs.350,Rs.330,Rs.300,Rs.270,Rs.300,Simple Interest (SI) = (P * R * T) / 100 = (1000 * 15 * 2) / 100 = Rs.300.0.,numerical,1,Infosys,Easy
A salary increases from Rs.39600 to Rs.49500. What is the percentage increase?,30%,25%,23%,55,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((49500 - 39600) / 39600) * 100 = 25%.,numerical,1,Capgemini,Easy
A shopkeeper buys a watch for Rs.580 and sells it for Rs.696. What is his profit percentage?,20%,23%,30%,15%,20%,Profit = Selling Price (SP) - Cost Price (CP) = 696 - 580 = Rs.116. Profit % = (Profit / CP) * 100 = (116 / 580) * 100 = 20%.,numerical,1,Accenture,Easy
"The average of 7 numbers is 21. If one number 25 is removed, what is the average of the remaining numbers?",22.33,22.37,19.33,20.33,20.33,"Total sum of 7 numbers = 7 * 21 = 147. After removing 25, new sum = 122. New average = 122 / 6 = 20.33.",numerical,1,Wipro,Easy
"The ratio of boys to girls in a class is 3:7. If there are 30 boys, how many total students are in the class?",100,96,105,60,100,"Boys : Girls = 3 : 7. Since boys = 30, 1 part = 30 / 3 = 10. Total parts = 3 + 7 = 10. Total students = 10 * 10 = 100.",numerical,1,Wipro,Easy
Find the simple interest on Rs.5700 at 8% per annum for 1 years.,Rs.506,Rs.501,Rs.426,Rs.456,Rs.456,Simple Interest (SI) = (P * R * T) / 100 = (5700 * 8 * 1) / 100 = Rs.456.0.,numerical,1,Wipro,Easy
A salary increases from Rs.40300 to Rs.44330. What is the percentage increase?,12%,8%,15%,10%,10%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((44330 - 40300) / 40300) * 100 = 10%.,numerical,1,Wipro,Easy
A shopkeeper buys a watch for Rs.820 and sells it for Rs.1025. What is his profit percentage?,25%,20%,28%,35%,25%,Profit = Selling Price (SP) - Cost Price (CP) = 1025 - 820 = Rs.205. Profit % = (Profit / CP) * 100 = (205 / 820) * 100 = 25%.,numerical,1,Tech Mahindra,Easy
"The average of 7 numbers is 49. If one number 15 is removed, what is the average of the remaining numbers?",53.67,54.67,56.67,60.13,54.67,"Total sum of 7 numbers = 7 * 49 = 343. After removing 15, new sum = 328. New average = 328 / 6 = 54.67.",numerical,1,Google,Easy
"The ratio of boys to girls in a class is 4:6. If there are 20 boys, how many total students are in the class?",40,50,55,46,50,"Boys : Girls = 4 : 6. Since boys = 20, 1 part = 20 / 4 = 5. Total parts = 4 + 6 = 10. Total students = 10 * 5 = 50.",numerical,1,Wipro,Easy
Find the simple interest on Rs.2300 at 7% per annum for 1 years.,Rs.177,Rs.211,Rs.161,Rs.131,Rs.161,Simple Interest (SI) = (P * R * T) / 100 = (2300 * 7 * 1) / 100 = Rs.161.0.,numerical,1,Infosys,Easy
A salary increases from Rs.37900 to Rs.45480. What is the percentage increase?,24%,18%,20%,25%,20%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((45480 - 37900) / 37900) * 100 = 20%.,numerical,1,Amazon,Easy
A shopkeeper buys a watch for Rs.190 and sells it for Rs.209. What is his profit percentage?,13%,5%,20%,10%,10%,Profit = Selling Price (SP) - Cost Price (CP) = 209 - 190 = Rs.19. Profit % = (Profit / CP) * 100 = (19 / 190) * 100 = 10%.,numerical,1,Amazon,Easy
"The average of 7 numbers is 33. If one number 25 is removed, what is the average of the remaining numbers?",34.33,33.33,37.77,36.33,34.33,"Total sum of 7 numbers = 7 * 33 = 231. After removing 25, new sum = 206. New average = 206 / 6 = 34.33.",numerical,1,Wipro,Easy
"The ratio of boys to girls in a class is 5:6. If there are 35 boys, how many total students are in the class?",82,77,70,73,77,"Boys : Girls = 5 : 6. Since boys = 35, 1 part = 35 / 5 = 7. Total parts = 5 + 6 = 11. Total students = 11 * 7 = 77.",numerical,1,Google,Easy
Find the simple interest on Rs.8300 at 8% per annum for 1 years.,Rs.730,Rs.634,Rs.664,Rs.714,Rs.664,Simple Interest (SI) = (P * R * T) / 100 = (8300 * 8 * 1) / 100 = Rs.664.0.,numerical,1,Infosys,Easy
A salary increases from Rs.31400 to Rs.37680. What is the percentage increase?,25%,20%,18%,24%,20%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((37680 - 31400) / 31400) * 100 = 20%.,numerical,1,Accenture,Easy
A shopkeeper buys a watch for Rs.260 and sells it for Rs.286. What is his profit percentage?,13%,5%,20%,10%,10%,Profit = Selling Price (SP) - Cost Price (CP) = 286 - 260 = Rs.26. Profit % = (Profit / CP) * 100 = (26 / 260) * 100 = 10%.,numerical,1,Accenture,Easy
"The average of 7 numbers is 45. If one number 40 is removed, what is the average of the remaining numbers?",44.83,45.83,50.42,47.83,45.83,"Total sum of 7 numbers = 7 * 45 = 315. After removing 40, new sum = 275. New average = 275 / 6 = 45.83.",numerical,1,Amazon,Easy
"The ratio of boys to girls in a class is 4:3. If there are 16 boys, how many total students are in the class?",28,24,33,32,28,"Boys : Girls = 4 : 3. Since boys = 16, 1 part = 16 / 4 = 4. Total parts = 4 + 3 = 7. Total students = 7 * 4 = 28.",numerical,1,Wipro,Easy
Find the simple interest on Rs.2100 at 6% per annum for 3 years.,Rs.378,Rs.415,Rs.348,Rs.428,Rs.378,Simple Interest (SI) = (P * R * T) / 100 = (2100 * 6 * 3) / 100 = Rs.378.0.,numerical,1,Capgemini,Easy
A salary increases from Rs.31200 to Rs.35880. What is the percentage increase?,13%,18%,20%,15%,15%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((35880 - 31200) / 31200) * 100 = 15%.,numerical,1,Infosys,Easy
A shopkeeper buys a watch for Rs.160 and sells it for Rs.200. What is his profit percentage?,28%,35%,25%,20%,25%,Profit = Selling Price (SP) - Cost Price (CP) = 200 - 160 = Rs.40. Profit % = (Profit / CP) * 100 = (40 / 160) * 100 = 25%.,numerical,1,Capgemini,Easy
"The average of 8 numbers is 43. If one number 40 is removed, what is the average of the remaining numbers?",43.43,45.43,42.43,47.77,43.43,"Total sum of 8 numbers = 8 * 43 = 344. After removing 40, new sum = 304. New average = 304 / 7 = 43.43.",numerical,1,Capgemini,Easy
"The ratio of boys to girls in a class is 2:4. If there are 20 boys, how many total students are in the class?",60,65,56,40,60,"Boys : Girls = 2 : 4. Since boys = 20, 1 part = 20 / 2 = 10. Total parts = 2 + 4 = 6. Total students = 6 * 10 = 60.",numerical,1,Accenture,Easy
Find the simple interest on Rs.1800 at 12% per annum for 1 years.,Rs.266,Rs.186,Rs.237,Rs.216,Rs.216,Simple Interest (SI) = (P * R * T) / 100 = (1800 * 12 * 1) / 100 = Rs.216.0.,numerical,1,Google,Easy
A salary increases from Rs.47300 to Rs.59125. What is the percentage increase?,25%,30%,23%,75,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((59125 - 47300) / 47300) * 100 = 25%.,numerical,1,Accenture,Easy
A shopkeeper buys a watch for Rs.930 and sells it for Rs.1069. What is his profit percentage?,15%,25%,18%,10%,15%,Profit = Selling Price (SP) - Cost Price (CP) = 1069 - 930 = Rs.139. Profit % = (Profit / CP) * 100 = (139 / 930) * 100 = 15%.,numerical,1,Google,Easy
